Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
POVERTY RIDGE,MIPC1,37.44306,-121.77056,CNRFC
MISSION PEAK,MISC1,37.51305,-121.89083,CNRFC
MINERS RAVINE - MOSS LANE,MIVC1,38.78888,-121.14555,CNRFC
MARKHAM RAVINE - RD1001,MKHC1,38.86556,-121.51473,CNRFC
MILLIKEN DAM,MLDC1,38.37722,-122.23194,CNRFC
MINES ROAD,MNIC1,37.51333,-121.54083,CNRFC
MINERS RAVINE,MNVC1,38.75611,-121.21806,CNRFC
MAGPIE CK - RALEY BLVD,MPIC1,38.66083,-121.42917,CNRFC
MORGAN HILL CORP YARD,MRGC1,37.115,-121.64583,CNRFC
MARKHAM RAVINE-JOINER PKWY,MRJC1,38.90025,-121.31637,CNRFC
MIDDLE TWO ROCK,MRRC1,38.23333,-122.71667,CNRFC
PERC POND,MRTC1,37.0625,-121.60278,CNRFC
,MRY,36.59056,-121.8475,CNRFC
MOUNT SAINT HELENA,MSHC1,38.675,-122.62917,CNRFC
MOUNT MADONNA,MTMC1,37.01111,-121.70194,CNRFC
MOUNTAIN VIEW,MTVC1,37.4,-122.05444,CNRFC
MOUNT VACA,MVAC1,38.39528,-122.1,CNRFC
MINERS-DETENTION BASIN,MVBC1,38.75779,-121.23014,CNRFC
MILL VALLEY / MT TAM,MVMC1,37.91389,-122.58,CNRFC
MONTEVINA,MVNC1,37.19953,-121.99195,CNRFC
NEWARK,MWRC1,37.53,-122.01,CNRFC
COLOMA CK - ORANGE MEM PARK,MXSC1,37.6538,-122.4267,CNRFC
MARYSVILLE BLVD,MYBC1,38.6275,-121.43278,CNRFC
,MYV,39.0975,-121.56972,CNRFC
BENNETT VALLEY RD,MZBC1,38.41389,-122.65722,CNRFC
NAPA - LINCOLN ST,NAAC1,38.30972,-122.27694,CNRFC
NATIVIDAD,NADC1,36.69278,-121.62472,CNRFC
ATLAS PEAK ROAD,NAPC1,38.43306,-122.25,CNRFC
FS #1 - MOWRY AT ARGONAUT,NAUC1,37.5449,-121.9905,CNRFC
BIG ROCK,NBRC1,38.03944,-122.57,CNRFC
NAPA R - BERRY STREET,NBSC1,38.57945,-122.58195,CNRFC
NOVATO CENTER ROAD TANK,NCTC1,38.10639,-122.62972,CNRFC
NORTH COW MOUNTAIN,NCWC1,39.1796,-123.08,CNRFC
NATOMAS E DRAIN CANAL,NDCC1,38.65056,-121.50667,CNRFC
NEMDC CITY,NJBC1,38.60695,-121.47,CNRFC
BELOW CALABAZAS CREEK,NOMC1,38.3625,-122.525,CNRFC
POTTER VALLEY NORTH,NPVC1,39.36126,-123.11321,CNRFC
NAPA CORP YARD,NPYC1,38.30833,-122.28667,CNRFC
NAPA R,NRXC1,38.41834,-122.35362,CNRFC
YOUNTVILLE,NRYC1,38.41833,-122.35361,CNRFC
NORTH SAN ANDREAS,NSAC1,37.61195,-122.44305,CNRFC
